Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Publisher
06/06/2020,170,20,18,34,21,36,28,20,9,4,0,88,81,1,80,1,25,22,6,36,0,0,1,1,0,7,7,4,0,7,13,0,8,1,9,2,0,0,City of Chicago
04/01/2020,460,24,3,57,69,87,84,90,41,29,0,237,203,20,99,19,221,62,15,44,0,0,1,1,1,7,6,8,0,12,12,0,3,1,19,0,0,1,City of Chicago
06/26/2020,214,12,18,59,48,29,24,17,11,8,0,120,93,1,67,4,40,40,5,58,0,0,1,2,0,0,3,6,0,6,6,0,1,0,4,7,0,0,City of Chicago
06/08/2020,267,15,20,61,47,48,40,24,15,12,0,134,128,5,135,3,42,29,9,49,0,0,1,1,2,2,3,6,0,6,9,0,5,1,5,3,1,0,City of Chicago
07/11/2020,156,2,9,68,22,24,13,12,8,0,0,81,75,0,30,4,42,30,10,40,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,City of Chicago
03/29/2020,284,21,4,30,48,54,50,50,30,18,0,129,155,0,54,11,145,37,10,27,0,1,0,1,4,4,6,5,0,4,17,0,2,2,15,2,0,0,City of Chicago
04/09/2020,584,25,9,82,104,104,131,74,43,37,0,260,315,9,173,24,207,84,29,67,0,0,0,0,3,7,5,10,0,13,12,0,5,1,14,5,0,0,City of Chicago
03/17/2020,96,1,0,15,21,18,17,19,2,4,0,36,58,2,7,3,38,40,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,City of Chicago
04/06/2020,587,22,5,78,97,102,112,96,56,41,0,301,275,11,137,20,235,97,25,73,0,0,0,2,5,1,8,6,0,9,13,0,3,0,16,3,0,0,City of Chicago
03/19/2020,186,2,5,35,48,36,25,18,17,2,0,87,98,1,20,10,80,63,7,6,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,City of Chicago
04/15/2020,629,31,21,92,106,110,126,84,47,43,0,302,325,2,230,20,180,63,44,92,0,1,1,3,2,5,5,14,0,8,23,0,9,3,15,4,0,0,City of Chicago
05/09/2020,523,50,34,103,100,99,91,54,28,13,1,265,254,4,247,9,91,37,17,122,0,0,0,3,6,6,11,24,0,22,28,0,24,3,14,8,1,0,City of Chicago
05/04/2020,1133,49,59,221,222,243,180,112,54,42,0,562,551,20,518,24,184,99,44,264,0,1,0,0,4,10,16,18,0,23,26,0,17,2,20,9,1,0,City of Chicago
05/18/2020,946,33,67,234,153,188,149,84,46,24,1,495,438,13,428,10,143,68,35,262,0,0,2,2,2,5,10,12,0,13,20,0,10,1,13,9,0,0,City of Chicago
