Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
03/26/2020,416,2,2,66,74,79,96,53,36,10,0,184,230,2,76,12,200,91,13,24,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0
04/22/2020,1037,45,32,168,165,164,208,147,64,88,1,501,470,66,418,22,216,96,47,238,0,0,3,2,6,14,8,12,0,20,25,0,9,0,26,9,1,0
06/01/2020,233,19,21,52,34,32,34,17,18,25,0,134,98,1,77,10,47,24,14,61,0,0,0,0,2,4,3,10,0,12,7,0,5,1,9,3,0,1
06/18/2020,113,12,7,24,20,22,20,8,5,7,0,60,53,0,37,0,21,18,6,31,0,0,1,1,0,4,3,3,0,6,6,0,6,0,5,1,0,0
06/15/2020,192,19,28,41,36,31,26,21,8,0,1,102,84,6,62,5,34,11,7,73,0,0,0,1,1,2,4,11,0,8,11,0,4,3,4,8,0,0
04/28/2020,1285,54,67,243,228,248,243,148,61,47,0,596,649,40,559,15,210,87,84,330,0,0,0,3,5,9,9,28,0,22,32,0,11,5,25,13,0,0
03/28/2020,252,4,2,29,53,38,45,38,28,19,0,137,113,2,37,6,133,43,10,23,0,0,0,0,2,0,1,1,0,1,3,0,1,0,3,0,0,0
05/23/2020,322,27,31,63,57,53,53,35,18,12,0,172,148,2,119,7,65,31,11,89,0,0,1,1,2,3,8,12,0,14,13,0,8,0,9,10,0,0
05/28/2020,508,22,41,106,87,94,67,61,28,24,0,250,251,7,203,7,106,55,16,121,0,0,0,1,4,2,4,11,0,11,11,0,10,0,7,5,0,0
04/26/2020,425,49,12,82,54,95,65,56,32,29,0,221,201,3,147,16,86,55,24,97,0,1,0,4,3,13,11,17,0,22,27,0,18,2,23,6,0,0
05/31/2020,120,22,16,29,19,22,11,13,5,5,0,59,60,1,38,1,36,5,1,39,0,0,0,3,1,4,7,7,0,10,12,0,7,0,10,5,0,0
04/06/2020,579,22,5,76,94,102,112,95,54,41,0,295,269,15,135,19,217,93,25,90,0,0,0,2,5,1,8,6,0,9,13,0,3,0,16,3,0,0
06/13/2020,122,17,13,28,18,16,19,14,8,6,0,67,55,0,39,0,18,16,12,37,0,0,0,0,3,4,5,5,0,10,7,0,3,1,6,7,0,0
05/24/2020,281,27,17,56,42,49,33,47,22,15,0,149,131,1,113,3,47,18,13,87,0,0,0,4,2,6,8,7,0,14,13,0,9,0,12,6,0,0
04/03/2020,463,24,2,73,63,77,92,77,47,31,1,253,208,2,112,23,182,78,15,53,0,0,1,2,2,4,6,9,0,12,12,0,3,0,19,2,0,0
06/16/2020,180,11,16,49,30,31,28,18,3,5,0,96,82,2,56,2,37,14,6,65,0,1,0,2,4,1,1,2,0,5,6,0,9,0,1,1,0,0
05/18/2020,940,33,64,233,153,188,147,84,46,24,1,493,434,13,417,10,142,67,35,269,0,0,2,2,2,5,10,12,0,13,20,0,10,1,13,9,0,0
,132,0,1,25,31,22,23,14,9,5,2,65,61,6,22,6,31,11,6,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2020,964,44,55,188,161,210,165,96,51,38,0,465,463,36,454,12,136,82,37,243,0,0,1,3,5,11,9,15,0,15,29,0,12,5,14,12,0,1
